z,n,a,symbol,training_measurement_fm,training_measurement_unc_fm,nuclr_prediction_fm,nuclr_seed_std_fm,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_fm,interval68_lower_fm,interval68_upper_fm,interval95_half_width_fm,interval95_lower_fm,interval95_upper_fm,external_measurement_fm,external_measurement_unc_fm,external_source_key,external_source_doi,training_status
15,18,33,P,,,3.2309055,0.0045179524,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01773165822,3.213173842,3.248637158,0.03910265577,3.191802844,3.270008156,,,,,
15,19,34,P,,,3.2356904,0.0027939165,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01226376048,3.22342664,3.24795416,0.02636346608,3.209326934,3.262053866,,,,,
15,20,35,P,,,3.262387,0.0048539834,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01618647106,3.246200529,3.278573471,0.03489958549,3.227487415,3.297286585,,,,,
15,21,36,P,,,3.2563102,0.0036947457,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01533444285,3.240975757,3.271644643,0.03317149983,3.2231387,3.2894817,,,,,
15,22,37,P,,,3.2632287,0.0033090098,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01423366254,3.248995037,3.277462363,0.03051652746,3.232712173,3.293745227,,,,,
15,23,38,P,,,3.2543778,0.0027630592,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01327668702,3.241101113,3.267654487,0.0278501853,3.226527615,3.282227985,,,,,
15,24,39,P,,,3.2702675,0.0029698403,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01786304482,3.252404455,3.288130545,0.03707131895,3.233196181,3.307338819,,,,,
15,25,40,P,,,3.2632442,0.002457369,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03113840738,3.232105793,3.294382607,0.06416990637,3.199074294,3.327414106,,,,,
15,26,41,P,,,3.275727,0.0037039164,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03483932973,3.24088767,3.31056633,0.0750453059,3.200681694,3.350772306,,,,,
15,27,42,P,,,3.2671769,0.0052806037,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03641847709,3.230758423,3.303595377,0.07723120688,3.189945693,3.344408107,,,,,
