z,n,a,symbol,ground_state_spin,ground_state_parity,training_measurement_e2_b2,training_measurement_unc_e2_b2,nuclr_prediction_e2_b2,nuclr_seed_std_e2_b2,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_e2_b2,interval68_lower_e2_b2,interval68_upper_e2_b2,interval95_half_width_e2_b2,interval95_lower_e2_b2,interval95_upper_e2_b2
24,46,70,Cr,0,1,,,0.0106671825,0.0065050265,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01055407834,0.0001131041605,0.02122126084,0.02728567639,0,0.03795285889
25,25,50,Mn,0,1,0.01520878724,,0.019895285,0.000754278,4,measured_target_oof_4_models,heldout_test_aggregate,0.0112656133,0.008629671704,0.0311608983,0.0327178608,0,0.0526131458
26,20,46,Fe,0,1,,,0.010986799,0.003131389,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007023864776,0.003962934224,0.01801066378,0.01722564166,0,0.02821244066
26,22,48,Fe,0,1,,,0.028030941,0.0043413625,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01034991428,0.01768102672,0.03838085528,0.02635618091,0.001674760087,0.05438712191
26,24,50,Fe,0,1,0.02844809123,,0.025702098,0.0036040004,4,measured_target_oof_4_models,heldout_test_aggregate,0.01054960236,0.01515249564,0.03625170036,0.02740401851,0,0.05310611651
26,26,52,Fe,0,1,0.01637115225,,0.029496169,0.0005103735,4,measured_target_oof_4_models,heldout_test_aggregate,0.006886793895,0.0226093751,0.0363829629,0.01555721239,0.01393895661,0.04505338139
26,28,54,Fe,0,1,0.01216,0.00062,0.009525329,6.8147616e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.006289250606,0.003236078394,0.01581457961,0.01630584561,0,0.02583117461
26,30,56,Fe,0,1,0.01962,0.0004,0.016882006,0.0007847608,4,measured_target_oof_4_models,heldout_test_aggregate,0.00633925532,0.01054275068,0.02322126132,0.01592170862,0.0009602973833,0.03280371462
26,32,58,Fe,0,1,0.0244,0.0012,0.022021038,0.0006745847,4,measured_target_oof_4_models,heldout_test_aggregate,0.006362517254,0.01565852075,0.02838355525,0.01567892738,0.006342110624,0.03769996538
26,34,60,Fe,0,1,0.01876,0.00176,0.018951686,0.0002803443,4,measured_target_oof_4_models,heldout_test_aggregate,0.005345691249,0.01360599475,0.02429737725,0.01368080163,0.005270884366,0.03263248763
26,36,62,Fe,0,1,0.0204,0.0018,0.01929847,0.0001450732,4,measured_target_oof_4_models,heldout_test_aggregate,0.005683943664,0.01361452634,0.02498241366,0.0145260519,0.004772418097,0.0338245219
26,38,64,Fe,0,1,0.0346,0.0032,0.029880999,0.0007796935,4,measured_target_oof_4_models,heldout_test_aggregate,0.00637817062,0.02350282838,0.03625916962,0.01609155986,0.01378943914,0.04597255886
26,40,66,Fe,0,1,0.0304,0.002,0.026540212,0.0013299573,4,measured_target_oof_4_models,heldout_test_aggregate,0.008226267348,0.01831394465,0.03476647935,0.02220963391,0.004330578093,0.04874984591
26,42,68,Fe,0,1,0.0356,0.0044,0.03349889,0.00023153254,4,measured_target_oof_4_models,heldout_test_aggregate,0.01022512678,0.02327376322,0.04372401678,0.02828978173,0.005209108265,0.06178867173
26,44,70,Fe,0,1,,,0.024661362,0.004484371,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007222614142,0.01743874786,0.03188397614,0.01824759715,0.00641376485,0.04290895915
26,46,72,Fe,0,1,,,0.01617044,0.005143298,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007427543755,0.008742896245,0.02359798375,0.01837992745,0,0.03455036745
26,48,74,Fe,0,1,,,0.009195923,0.0035916327,40,unmeasured_target_40_models,extrapolation_model_estimate,0.00744418867,0.00175173433,0.01664011167,0.0186330004,0,0.0278289234
26,50,76,Fe,0,1,,,0.0048928414,0.0030795662,40,unmeasured_target_40_models,extrapolation_model_estimate,0.006965178429,0,0.01185801983,0.01718116814,0,0.02207400954
27,27,54,Co,0,1,,,0.009439236,0.0031504966,40,unmeasured_target_40_models,extrapolation_model_estimate,0.008987240101,0.0004519958989,0.0184264761,0.02205415744,0,0.03149339344
28,20,48,Ni,0,1,,,0.008110044,0.0019092623,40,unmeasured_target_40_models,extrapolation_model_estimate,0.008802330156,0,0.01691237416,0.02198294649,0,0.03009299049
28,22,50,Ni,0,1,,,0.017548049,0.0035093531,40,unmeasured_target_40_models,extrapolation_model_estimate,0.006482789079,0.01106525992,0.02403083808,0.01609470594,0.001453343057,0.03364275494
28,24,52,Ni,0,1,,,0.018587906,0.0031723436,40,unmeasured_target_40_models,extrapolation_model_estimate,0.009359982452,0.009227923548,0.02794788845,0.02307609663,0,0.04166400263
28,26,54,Ni,0,1,0.0122,0.0024,0.01763189,0.002133934,4,measured_target_oof_4_models,heldout_test_aggregate,0.009333099252,0.008298790748,0.02696498925,0.02350115715,0,0.04113304715
28,28,56,Ni,0,1,0.00906,0.00172,0.013281037,0.00018792377,4,measured_target_oof_4_models,heldout_test_aggregate,0.006234492906,0.007046544094,0.01951552991,0.01683416027,0,0.03011519727
28,30,58,Ni,0,1,0.013,0.00024,0.01022979,7.38675e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.008242463745,0.001987326255,0.01847225374,0.01995099878,0,0.03018078878
28,32,60,Ni,0,1,0.01832,0.00032,0.011384143,9.58831e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.004635207561,0.006748935439,0.01601935056,0.01261706205,0,0.02400120505
28,34,62,Ni,0,1,0.01778,0.0006,0.008144123,6.0789032e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.004189953374,0.003954169626,0.01233407637,0.01094366514,0,0.01908778814
28,36,64,Ni,0,1,0.01348,0.00064,0.011852978,0.0005076541,4,measured_target_oof_4_models,heldout_test_aggregate,0.004112823436,0.007740154564,0.01596580144,0.01043259745,0.001420380548,0.02228557545
